
2025/09/04 (21:51:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (21:51:25) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/04 (23:02:01) | ===> btop++ v.1.3.2
2025/09/04 (23:02:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (23:02:01) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/04 (23:40:52) | WARNING: Failed to join _runner thread on exit!

2025/09/04 (23:41:29) | ===> btop++ v.1.3.2
2025/09/04 (23:41:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (23:41:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/04 (23:53:25) | WARNING: Failed to join _runner thread on exit!

2025/09/04 (23:53:53) | ===> btop++ v.1.3.2
2025/09/04 (23:53:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/04 (23:53:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/05 (07:18:27) | WARNING: Failed to join _runner thread on exit!

2025/09/05 (21:05:38) | ===> btop++ v.1.3.2
2025/09/05 (21:05:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/05 (21:05:38) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/09/09 (09:33:09) | ===> btop++ v.1.3.2
2025/09/09 (09:33:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/09/09 (09:33:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2025/09/09 (11:01:08) | WARNING: Failed to join _runner thread on exit!
